SubCategoryID,CategoryID,Name
23260.0,2339,Miếng lót bồn cầu
23256.0,2339,Rèm phòng tắm
3877.0,2339,Thảm chùi chân
23834.0,2339,"Xô, thau, chậu"
67926.0,2339,Thảm chống trơn trượt nhà tắm
,23258,
27128.0,23264,Vòi nước các loại
23270.0,23264,Bồn cầu
23272.0,23264,Lavabo
23276.0,23264,Thiết bị phòng tắm khác
67938.0,23264,Giá/thanh treo khăn
67939.0,23264,Gương phòng tắm
23032.0,23044,Túi giặt
23034.0,23044,Bàn để ủi và phụ kiện
23036.0,23044,Cây lăn bụi
23040.0,23044,Giỏ đựng quần áo
23042.0,23044,Phụ kiện giặt ủi khác
23254.0,23044,"Giá, kệ phơi quần áo"
2337.0,23044,"Móc treo, kẹp quần áo"
67925.0,23044,Giàn phơi thông minh
23022.0,23018,Bàn chải nhà tắm
23026.0,23018,Túi đựng rác
2238.0,23018,Dụng cụ vệ sinh khác
23030.0,23018,Thùng rác
2237.0,23018,Găng tay vệ sinh nhà tắm
23020.0,23018,Đồ hốt rác
67920.0,23018,Cọ rửa
67921.0,23018,Dụng cụ thông tắc
68397.0,4452,Dây đai an toàn lao động
68398.0,4452,Dụng cụ bảo hộ lao động khác
68399.0,4452,Găng tay bảo hộ lao động
68400.0,4452,Giày bảo hộ lao động
68401.0,4452,Kính bảo hộ lao động
68402.0,4452,Mặt nạ phòng độc
68403.0,4452,Mũ bảo hộ lao động
68404.0,4452,Thang & dây thoát hiểm
68405.0,4452,Quần áo bảo hộ lao động
68413.0,12984,Phụ tùng xe đẩy hàng
68414.0,12984,Xe đẩy hàng 2 bánh
68415.0,12984,Xe đẩy hàng 4 bánh
68416.0,12984,Xe đẩy hàng leo bậc thang
23702.0,12986,Sơn
23704.0,12986,Dầu mỡ
23706.0,12986,Hóa chất
,2759,
23688.0,12980,Đá cắt
23690.0,12980,Que hàn
23692.0,12980,Cưa & lưỡi cưa
67560.0,2327,Thang gác xép
67561.0,2327,Thang nhôm bàn
67562.0,2327,Thang nhôm chữ A
67563.0,2327,Thang nhôm gấp khúc
67564.0,2327,Thang nhôm ghế
67565.0,2327,Thang nhôm rút
67566.0,2327,Thang nhôm trượt
53074.0,2760,Dụng cụ sửa chữa nhà cửa khác
2948.0,2760,"Cờ lê, mỏ lết, búa các loại"
4451.0,2760,Bộ lục giác
23714.0,2760,Cây lăn - Súng phun sơn
23712.0,2760,Súng bắn keo
3175.0,2760,Kềm & Dũa các loại
68407.0,2760,Dây rút
68408.0,2760,Keo dán đa năng
27190.0,27188,Máy đo khoảng cách
27192.0,27188,Máy đo PH
27194.0,27188,"Máy đo nhiệt độ, độ ẩm"
27196.0,27188,Thiết bị đo lường khác
2805.0,27188,Thước đo các loại
68409.0,27188,Ampe kìm
68410.0,27188,Bút thử điện
68411.0,27188,Đồng hồ vạn năng
68412.0,27188,Máy đo điện trở
,2806,
23452.0,23450,Đàn piano cơ
23448.0,23450,Đàn piano điện tử
23454.0,23450,Đàn piano cuộn
68325.0,23450,Phụ kiện cho Đàn Piano
,23462,
,23464,
23456.0,23466,Đàn guitar
53188.0,23468,Phụ kiện đàn khác
23508.0,23468,Dây đàn
23536.0,23468,Máy đập nhịp
23520.0,23468,"Máy lên dây, tuner"
23534.0,23468,Miếng gảy - pick
23516.0,23468,Phơ Guitar
23518.0,23468,Hộp đàn - Bao đàn
23548.0,23468,Dây đeo Guitar
23474.0,10076,Đàn bầu
23476.0,10076,Nhạc cụ dân tộc khác
23478.0,10076,Đàn tranh
23482.0,10076,Đàn tỳ bà
